acronym,meaning
SBDEWSIM,"space-based, directed-energy weapon simulation"
SBE,sub-bit encoder
SBFS,Space Businesses Financial Services
SBHC,speed brake hand controller
SBI,space-based interceptor
SBKEW,space-based kinetic-energy weapon
SBKEWS,space-based kinetic-energy weapon system
SBKKV,space-based kinetic kill vehicle
SBKKVWS,space-based kinetic kill vehicle weapon system
SBL,space-based laser
SBLIP,Space-Based Laser Intercept Program
SBM,strategic ballistic missile
SBMS,space-based battle manager satellite
SBMS,spaceborne battle management satellite
SBNPB,space-based neutral particle beam
SBNWS,Seal Beach Naval Weapons Station
SBOTV,space-based OTV
SBP,San Luis Obispo (TACAN station)
SBP,sonic boom panel
SBP,Strategic Business Plan
SBPA,S-band power amplifier
SBR,space-based radar
SBS,satellite business system
SBS,scientific business satellite
SBSS,space-based space surveillance
SBSS,space-based surveillance system
SBTC,speed brake/thrust controller
SBTO,speed brake takeover
SBUE,switch backup entry
SBX,S-band transponder
SC,Science Center
SC,superimposed current
SC,support contractor
SC,surface command
SC,system characterization
SC,system concept
SC,separation and control
SC,service charge
SC,signal conditioner
SC,single contact
SC,software change
SC,spacecraft
SC,statement of capability
SC,statement of compatibility
SC/SM,spacecraft systems monitor
SC/TC,spacecraft test conductor
SCA,schedule change authorization
SCA,system controller assembly
SCA,SDI communications architecture
SCA,sequence control area
SCA,sequence control assembly
SCA,Service Contract Act
SCA,Shuttle carrier aircraft
SCA,simulation control area
SCA,sneak circuit analysis
SCA,software command analysis
SCAMA,station conferencing and monitoring agreement
SCAN,selected current aerospace notice
SCAN,Shuttle connector analysis network
SCAP,Shuttle configuration analysis program
SCAPE,self-contained atmosphere protective ensemble
SCAR,safety change assessment report
SCARS,serialized control and record system
SCARS,sneak-circuit analysis report summary
SCAT,space communication and tracking
SCAT,"storage, checkout, and transport"
SCAT,system commonality analysis tool
SCATS,simulation control and training system
SCATS,"simulation, checkout, and tracking system"
SCB,Schedule Control Board
SCB,Selection Control Board
SCB,selector control box
SCB,Software Control Board
SCB,Specification Control Board
SCB,steering control box
SCBD,seller's configuration baseline document
SCC,Safety Control Center
SCC,Scientific Computing Center
SCC,secondary control code
SCC,Simulation Control Center
SCC,simulation configuration control
SCC,Standing Consultative Commission
SCC,System Control Center
SCCB,Site Configuration Control Board
SCCB,Software Change Control Board
SCCB,Software Configuration Control Board
SCCC,Spacecraft Command and Control Center
SCCE,signal conditioning control electronics
SCD,SCM comparison display
SCD,source control drawing
SCD,specification change drawing
SCD,specification control document
SCD,specification control drawing
SCD,system concept definition
SCDP,simulation control data package
SCDR,seller critical design review
SCDR,Shuttle critical design review
SCDR,software critical design review
SCDR,subcontractor critical design review
SCDS,secure central data subsystem
SCDU,signal conditioning and display unit
SCE,signal conditioning equipment
SCE,sortie cargo element
SCE,Space Transportation System cargo element
SCEA,signal conditioning electronics assembly
SCF,Satellite Control Facility
SCF,sequence compatibility firing
SCF,spacecraft control facility
SCF,Sunnyvale Control Facility
SCG,Security Classification Guide
SCGSS,supercritical gas storage system
SCI,seller configuration inspection
SCI,sensitive compartmented information
SCI,software customer inspection
SCI,switch closure in
SCIF,sensitive compartmented information facility
SCIM,Shuttle cargo integration manager
SCIP,self-contained instrument package
SCIP,Shuttle cargo integration plan
SCIT,standard change integration and tracking
SCIT,system concept and integrated technology
SCIU,selector control interface unit
SCIU,sortie control interface unit
SCL,safety checklist
SCL,secondary coolant line
SCL,secondary coolant loop
SCL,specification change log
SCLM,"stability, control, and load maneuver"
SCM,schedule/configuration management
SCM,software configuration management
SCM,software configuration manager
SCM,system (subsystem) configuration management
SCM,system configuration monitoring
SCM,system control module
SCMO,Software Configuration Management Office
SCMP,software configuration management plan
SCMP,system contractor management plan
SCMU,satellite control and monitor unit
SCN,schedule change notice
SCN,specification change notice
SCNP,specification change notice proposal
SCO,spacecraft operator
SCO,start checkout
SCO,subcarrier oscillator
SCO,supercritical oxygen
SCO,switch closure out
SCOE,special checkout equipment
SCOMP,secure communications protocol
SCOR,SMS Comsec Operation Room
SCOS,subsystem computer operating system
SCP,scanner control power
SCP,site configuration package
SCP,specific candlepower
SCR,SAIL change request
SCR,schedule change request
SCR,signal conditioner
SCR,silicon controller rectifier
SCR,sneak-circuit report
SCR,software change request
SCR,space-constructible radiator
SCR,strip chart recorder
SCRAM,station crew return alternative module
SCRB,Software Configuration Review Board
SCRB,STSOC Configuration Review Board
SCRG,System Change Review Group (MSFC)
SCRL,station configuration requirement list
SCRP,Secure Communications Requirements Panel
SCRPC,Southern California Regional Purchasing Council
SCRS,strip chart recording system
SCS,secondary coolant system
SCS,serialization card system
SCS,service and checkout system
SCS,signature control system
SCS,spacecraft control system
SCS,stabilization and control system (subsystem)
SCS,system control station
SCSAP,SCS adjust panel
SCSCP,SCS control panel
SCSG,single-channel signal generator
SCSMSP,SCS mode select panel
SCSS,satellite control simulation system
SCT,signal channel transponder
SCTE,S-band communication and tracking equipment
SCTE,spacecraft central timing equipment
SCU,secondary control unit
SCU,sequence control unit
SCU,sequential control unit
SCU,service and cooling umbilical
SCU,Shuttle configuration unit
SCU,signal conditioner unit
SCU,signal control unit
SCVE,spacecraft vicinity equipment
SCW,search-complete word
SD,signal digitizer
SD,solar dynamic
SD,Space Division
SD,spares disposition
SD,specification document
SD&EOSD,Strategic Defense and Electro-Optics Systems
SD&FS,smoke detection and fire suppression
SD&I,system development and integration
SD/AFSC,Space Division/Air Force Systems Command
SD/IN,Space Division/Intelligence
SD/SP,Space Division Directorate of Security
SD/YO,"Space Division director, Operations Support and Integration, deputy commander for Space"
SDA,shaft drive axis
SDA,source data automation
SDAF,SRB Retrieval and Disassembly Facility
SDAG,Strategic Defense Advisory Group
SDAP,Shuttle descent analysis program
SDAT,spacecraft data analysis team
SDB,shallow-draft barge
SDB,shallow-draft board
SDB,small disadvantaged business
SDBC,software development baseline control
SDC,signal data converter
SDC,software development computer
SDC,Space Data Corporation
SDC,spares disposition code
SDC,Strategic Defense Center
SDC,Strategic Defense Command (U.S. Army)
SDC,System Development Corporation
SDC-CC,Space Defense Command Communication Center
SDC-OC,Space Defense Command Operations Center
SDCC,Strategic Defense Command Center
SDCP,summary development cost plan
SDCS,SAIL data communications system
SDD,Shuttle design directive
SDD,software description document
SDD,software design document
SDD,system for distributed data base
SDD,systems development device
SDDD,software detailed design document
SDDL,software design and document language
SDE,software development environment
SDE,Space Division evaluator
SDEF,Service Development Evaluation Facility
SDF,safing and deservicing facility
SDF,Shuttle Development Facility
SDF,simulation data file
SDF,single degree of freedom
SDF,software development facility
SDF,software development file
SDF,system development facility (breadboard)
SDG,strap-down gyro
SDH,Software Development Handbook
SDH,System Definition Handbook
SDHS,satellite data handling system
SDI,selective dissemination of information
SDI,Strategic Defense Initiative
SDIF,software development and integration facility
SDIL,spacecraft DCD interface logic
SDIO,Strategic Defense Initiative Office
SDIP,Strategic Defense Initiative Program
SDL,SAIL difference list
SDL,scenario description language
SDL,Software Development Laboratory
SDL,Software Development Library
SDL,standard distribution list
SDL,system design language
SDLV,Shuttle-derived launch vehicle
SDM,Shuttle data management
SDM,Shuttle Definition Manual
SDM,Subsystem Design Manual
SDM,System Definition Manual
SDMB,Shuttle Discrepancy Management Board
SDMS,Shuttle data management system
SDN,safety discrepancy notice
SDN,software development note
SDNS,secure data network system
SDOF,single degree of freedom
SDOPS,strategic defense operational planning support
SDP,sensor data processing
SDP,Shuttle data processor
SDP,site data processor
SDP,software development plan
SDP,standard data processor
SDP,strategic defense program
SDP,subsystem development plan
SDPC,Shuttle Data Processing Complex
SDPLV,Shuttle-derived-propellant launch vehicle
SDQA,Space Division Quality Assurance
SDR,sensor data record
SDR,serial data receiver
SDR,series dissipating regulator
SDR,software design requirement
SDR,software design review
SDR,Spacelab disposition record (ESA)
SDR,storage data register
SDR,system design review
SDR,systems definitions review
SDRB,Software Design Review Board
SDRL,subcontract data requirements list
SDRL,subcontractor data requirements list
SDRS,Shuttle display reconfiguration system
SDS,satellite data system
SDS,strategic defense system
SDS,scientific data system
SDS,Shuttle dynamic simulation
SDS,Shuttle dynamic simulator
SDS,simulation data subsystem
SDS,smoke detector system
SDS,software design specification
SDS,Space Defense System
SDS,steering and damping subsystem
SDSS,Space Division Shuttle simulator
SDT,Shuttle data tape
SDT,structural dynamic test
SDTA,structural dynamic test article
SDTS,satellite data transmission system
SDV,Shuttle-derived vehicle
SDVF,software development and verification facility
SE,support equipment
SE,system effectiveness
SE,system element
SE,system evaluator
SE,systems engineering
SE&A,system engineering and analysis
SE&I,systems engineering and integration
SE&TD,system engineering and technical direction
SE/FAC,support equipment facility
SEA,scanning electrostatic analysis
SEA,silicon elastometer ablator
SEACF,support equipment assembly and checkout facility
SEADS,Shuttle entry air data sensor
SEAGA,selective employment of airborne and ground alert
SEAID,support equipment abbreviated items description
SEAM,system engineering and analysis management
SEAPG,Support Equipment Acquisition Planning Group
SEASIM,system element attrition simulation
SEB,scientific equipment bay
SEB,Source Evaluation Board
SEB,support equipment building
SEB,systems engineering branch
SEC,sequential events controller
SEC,Source Evaluation Committee
SEC,split expander cycle
SECO,sustainer engine cutoff
SECOR,sequential collation or range
SECP,SE computer program
SECS,sequential events control system
SECS,Shuttle events control subsystem
SECS,simulation/experiment control system
SED,space engineering document
SEDB,SE data base
SEDR,SE design review
SEDR,Systems Engineering Department report
SEE,software engineering exercise
SEE,software equality evaluation
SEER,sensor experimental evaluation and review
SEF,Space Environmental Facility (NASA)
SEG,Simulation Engineering Group
SEG,system engineering ground rule
SEI,SE item
SEI,seller end item
SEI,Software Engineering Institute
SEI,support equipment installation
SEICO,support equipment installation and checkout
SEID,SE item description
SEIS,Shuttle experiments integration support
SEIS,Spacelab experiments integration support
SEIS,standard end item specification
SEIST,"system engineering, integration, and support team"
SEIT,"system engineering, integration, and test"
SEL,Systems Electronics Laboratory
SEL,Systems Engineering Laboratories
SEM,scanning electron microscope
SEM,seller's engineering memo
SEM,Shuttle experiment module
SEM,space environment monitoring
SEM,subcontractor engineering memorandum
SEM,system engineering management
SEMP,system engineering management plan
SEMS,space environment monitor system
SEMWS,"survivable, endurable missile warning system"
SEND,shared equipment need date
SEO,special engineering order
SEOS,synchronous Earth observation satellite
SEP,Shuttle electronics package
SEP,solar electric propulsion
SEP,space electronics package
SEP,standard electronic package
SEP,support equipment package
SEP,systems engineering plan
SEPA,site engineering project authorization
SEPAP,Shuttle electrical power analysis program
SEPAR,Shuttle electrical power analysis report
SEPP,system effectiveness program plan
SEPS,solar electric propulsion system
SER,service employment redevelopment
SER,system engineering review
SERB,Shuttle Engineering Review Board
SERB,Support Equipment Review Board
SERB,Systems Engineering Review Board
SERD,SE requirements document
SERF,SE requirements file
SERF,Space Environment Research Facility
SERIES-X,satellite emission range infrared Earth sent
SERR,SE requirements review
SERS,Shuttle enhanced reconfiguration system
SERS,Shuttle equipment record system
SERT,space electrical rocket test
SES,Shuttle engineering simulation
SES,Shuttle engineering simulator
SES,software evaluation subpanel
SES,special-emphasis study
SES,spinning-Earth sensor
SES,systems engineering simulator
SESA,special-equipment stowage assembly
SESC,Shuttle events sequential control
SESL,Space Environment Simulation Laboratory
SESL,Space Environmental Simulation Laboratory
SESP,space experiment to support program
SET,solar energy thermionic
SETA,system engineering and technical assistance
SETAC,system engineering and technical assistance contractor
SETAC,Systems Engineering Technical Advancement Center
SETF,small-engine test facility
SETP,system engineering test phase
SEU,single-event upset
SEUL,support equipment utilization list
SEV,"status, error, and validity"
SEVP,"status, error, validity, and parity"
SEVS,simulation and evaluation system
SEWB,system engineering work bench
SEWG,Sustaining Engineering Working Group
SEWG,System Effectiveness Working Group
SEWS,satellite early warning system
SF,safety factor
SF,"Safety, R&QA, and Protective Services (KSC directorate)"
SF,scale factor
SF,selection filter
SF,signaling frequency
SF,spot face
SF,star field
SF,static firing
SF,subcontractor-furnished
SF-SOO,KSC Safety Operations Office
SFA,sun-finder assembly
SFACI,software flight article configuration inspection
SFC,selection filter control
SFC,specific fuel consumption
SFCS,survival flight control system
SFDS,system functional design specification
SFDT,site format dump tape
SFF,static firing facility
SFL,secondary Freon loop
SFM,senior functional manager
SFO,space flight operations
SFOF,Space Flight Operations Facility (JPL)
SFOM,Shuttle Flight Operations Manual
SFOM,space flight operations memorandum
SFOP,safety operating procedure (KSC)
SFOP,space flight operations plan
SFP,single failure point
SFP,summary flight plan
SFP,sustainer fuel pressure
SFPA,single failure point analysis
SFPPL,short-form provisioning parts list
SFPS,single failure point summary
SFS,Shuttle flight status
SFSS,satellite field service station
SFT,simulated flight test
SFT,static firing test
SFT,structural fatigue test
SFTA,structural fatigue test article
SFTF,static firing test facility
SFU,standard firing unit
SG,scenario generation
SG,signal generator
SG,surgeon general
SGC,stabilized ground cloud
SGEMP,space-generated electromagnetic pulse
SGEMP,system-generated electromagnetic pulse
SGITS,spacecraft/GOSS interface test system
SGLS,space-ground link station
SGLS,space-ground link system
SGML,standard generalized markup language
SGMT,simulated Greenwich mean time
SGOS,Shuttle ground operations simulator
SGP,single ground point
SGP,static ground point
SGP,structure ground point
SGS,symbol generator and storage
SGSC,strain gauge signal conditioner
SH2,supercritical hydrogen
SHA,sidereal hour angle
SHA,system hazard analysis
SHAD,stellar horizon atmospheric dispersion
SHAD,stellar horizon attitude determination
SHAG,simplified high-accuracy guidance (Honeywell)
SHAR,stellar horizon atmospheric refraction
SHARE,Space Station heat pipe advanced radiator element
SHERB,Sandia human error rate bank
SHF,superhigh frequency
SHIMS,system hazard information management system
SHLB,simulation hardware load box
SHM,Stage Handling Manual
SHOOT,super helium on-orbit transfer
SHORAN,short-range navigation
SHP,shaft horsepower
SHP,sustainer hydraulic pressure
SHRD,supplemental heat rejection device
SHS,simulation hardware system
SHe,supercritical helium
SI,international system of units
SI,scientific instrument
SI,Shuttle integration
SI,solar inertial
SI,storage immediate
SI,system integration
SI/FS,system integration and flight software
SIA,software impact assessment
SIA,solar inertial attitude
SIA,structural interface adapter
SIA,system integration area
SIAP,System Integrity Assurance Program
SIAPP,System Integrity Assurance Program Plan
SIB,simulation interface buffer
SIB,Systems Integration Board
SIC,standard industrial classification
SICA,structural interface compatibility assessment
SICBM,small intercontinental ballistic missile
SID,Shuttle integration device
SID,simulator interface device
SID,standard interface document
SID,standard items data base
SID,system interface document
SIDL,system identification list
SIE,SAT integrated experiment
SIE,SATKA integrated experiment
SIE,Shuttle interface equipment
SIE,Society of Industrial Engineers
SIE,system integration engineer
SIEB,Security Impact Evaluation Board
SIES,"supervision, inspection, engineering, and services"
SIF,systems integration facility
SIGINT,signals intelligence
SIGP,scientific instrument gas purge
SIGT1,Signal Tape 1
SIL,sound interference level
SIL,speech interference level
SIL,System Integration Laboratory
SILTS,Shuttle infrared lee-side temperature sensing
SIM,scientific instrumentation module
SIMAS,Shuttle information management accountability system
SIMCAT,simulate observations using space catalog
SIMCHE,simulation and checkout equipment
SIMFAC,simulation facility
SIMO,"single instruction, multiple data paths"
SIMR,systems integration management review
SIMS,secondary ion mass spectroscopy
SIMS,Shuttle imaging microwave system
SIMS,Shuttle inventory management system
SIMS,single inventory management system
SIN,support information network
SINDA,system improved numerical differences analyzer
SINDA,systems improved numerical differences analyzer
SINDA,systems improved numerical differencing analysis
SINE,spacecraft-induced and natural environment
SIO,serial input/output
SIO,staged in orbit
SIO,Systems Integration Office
SIOP,single integrated operational plan
SIOP,single integrated operations plan
SIOP,strategic integrated operations plan
SIP,scientific instrument package
SIP,separation instrumentation package
SIP,standard interface panel
SIP,standard interface plan
SIP,strain isolation pad
SIP,strategic information plan
SIP,system interface processing
SIPS,small instrument pointing system
SIR,Shuttle imaging radar
SIR,systems integration review
SIRE,Space Infrared Experiment
SIRR,software integration readiness review
SIRTF,Shuttle Infrared Telescope Facility
SIS,SAIL interface system
SIS,simulator interface system
SIS,software implementation specification
SIS,software integrated schedule
SIS,Spade integrated simulator
SIS,standard interface specification
SIS,steam inerting system
SIS,Strom inerting system
SIS,systems integration schedule
SIS,scanning imaging spectrometer
SIS,serial input special
SIS,shock isolation system
SIS,Shuttle information service
SIS,Shuttle information system
SIS,Shuttle integration schedule
SIS,Shuttle interface simulator
SIS,simulation interface subsystem
SISD,simulation interface and standards document
SISEX,Shuttle Imaging Spectrometer Experiment
SIT,Shuttle integrated test
SIT,Shuttle interface test
SIT,silicon-intensified target
SIT,software integrated test
SIT,Stevens Institute of Technology
SIT,structural integrity test
SIT,systems integration test
SITE,spacecraft instrumentation test equipment
SITP,system integration test plan
SITT,systems integration of triad technology
SIU,serial interface unit
SIU,signal interface unit
SIU,standard interface unit
SIVE,Spacelab interface verification equipment
SJ,slip joint
SJC,spacecraft jettison controller
SL,sea level
SL,shelf life
SL,sick leave
SL,sound level
SL,space laboratory
SL,space launch
SL,Spacelab
SL,star line
SL&I,system load and initialization
SL-SS,Spacelab subsystem
SL-SSS,Spacelab subsystem segment
SLA,ERNO Spacelab product assurance department
SLA,service-module-to-launch-module adapter
SLA,spray-on lightweight ablator
SLA,superlight ablative
SLA,support and logistics areas
SLAC,Stanford Linear Accelerator Center
SLAENG,space-based laser engagement
SLAHTS,stowage list and hardware tracking system
SLAM,side-load arrest mechanism
SLAM,simulation language for alternative modeling
SLAM,station logistics and maintainability (data base)
SLAMAP,space laser mission analysis program
SLAR,side-looking airborne radar
SLAT,supersonic low-altitude target
SLATM,supersonic low-altitude target missile
SLBD,sea light-beam director
SLBM,submarine-launched ballistic missile
SLC,ERNO Spacelab project control
SLC,space launch complex
SLC6,Space Launch Complex 6
SLCA,ERNO Spacelab contract administration
SLCL,shop/lab configuration layout
SLCM,ERNO Spacelab configuration management
SLCM,sea-launched cruise missile
SLCS,software library control system
SLCSAT,submarine laser communications satellite
SLD,stiff-leg derrick
SLE,ERNO Spacelab engineering
SLED,space laser experiment definition
SLEMU,Spacelab engineering model unit
SLF,Shuttle Landing Facility (KSC)
SLFC,selectable low-frequency clock
SLFCS,survivable low-frequency communications system
SLI,ERNO Spacelab integration and test
SLIM,scanned long-wave infrared module
SLKT,"survivability, lethality, and key technologies"
SLL,shelf-life limit
SLM,sound-level meter
SLM,space laboratory module
SLO,ERNO Spacelab operations
SLO,Spacelab only
SLOC,source lines of code
SLODB,Spacelab Operational Data Book
SLOS,star line of sight
SLP,ERNO Spacelab payload
SLPB,Spacelab Program Board
SLPCRB,SIP low-profile cable routing bracket
SLPEM,Sparta Linear Programming Effectiveness Model
SLPO,ERNO Spacelab Program Office
SLR,scanning laser radar
SLS,secondary landing site
SLS,sortie lab simulator
SLS,Spacelab simulator
SLS,statement-level simulator
SLSA,Shuttle logistics support aircraft
SLSG,suit loop stimuli generator
SLSMS,Spacelab support module simulator
SLT,ERNO Spacelab technology
SLUK,Spacelab utility kit
SLV,space launch vehicle
SLVX,new launch vehicle derivative of Titan 34D
SLW,straight-line wavelength
SM,service module
SM,system monitoring
SM,systems management
SM,short module
SM,Shuttle Management (KSC)
SM,stabilized member
SM,stable member
SM,strategic missile
SM,subcontract management
SM,successful mission
SM,support module
SM&S,systems management and sequencing
SM/PM,systems management/performance monitor
SM3/H,standard m3 per hour
SMA,simulation model adapter
SMA,Systems Management American Corporation
SMAB,Solid Motor Assembly Building
SMAG,star magnitude
SMARTS,"simulation, monitoring, analysis, reduction, and test"
SMATH,satellite materials and target hardening
SMB,space meteorology branch
SMC,Scientific Manpower Commission
SMCC,Shuttle Mission Control Center
SMCH,standard mixed-cargo harness
SMCM,small module core memory
SMCS,separation monitoring control unit
SMD,shop manufacturing development
SMD,Spacelab mission development
SMD,special measuring device
SMD,Structures and Mechanics Division
SMD,system measuring device
SMDC,shielded mild detonating cord
SMDM,small multiplexer/demultiplexer
SMEAR,SPAN/mission evaluation action request
SMED,single minute exchange of dies
SMEK,summary message enable keyboard
SMES,Shuttle mission engineering simulator
SMES,Shuttle mission evaluation simulation
SMES,superconducting magnetic energy storage
SMG,Space Flight Meteorology Group
SMI,SM initialization
SMI,sortie mission integrator
SMIA,single multiplexer interface assembly
SMIC,sortie mission integration contractor
SMIRR,Shuttle multispectral infrared radiometer
SMIS,STDN management information system
SML,structure mold line
SMM,Solar Maximum Mission
SMM,Subcontract Management Manual
SMM,Subsystem Management Manual
SMM,subsystem measurement management
SMMD,specimen mass measurement device
SMMR,scanning multichannel microwave radiometer
SMOC,simulation mission operation computer
SMP,software management plan
SMPM,Structural Materials Property Manual
SMPS,service module propulsion stage
SMPTRB,Shuttle Main Propulsion Test Requirement Board
SMQ,SM quad
SMQ,structure module qualification
SMR,"source, maintenance, and recoverability"
SMRD,spin motor rotation detector
SMRD,spin motor run detector
SMRD,spin motor run direction
SMRD,spin motor run discrete
SMRD,spin motor running detector
SMRD,spin motor running director
SMS,separation mechanism subsystem
SMS,system mechanical schematic
SMS,sequenced milestone system
SMS,Shuttle mission simulator
SMS,site-managed software
SMS,software modification sheet
SMS,Solar Maximum satellite
SMS,space motion sickness
SMS,stationary manipulator system
SMS,synchronous meteorological satellite
SMSA,standard metropolitan statistical area
SMSA,strategic missile support area
SMSB,strategic missile support base
SMSC,"software moding, sequencing, and control"
SMSCC,Shuttle mission simulator computer complex
SMSFB,SMS fixed base
SMSG,Shuttle Maintenance Steering Group
SMSS,survivable missile surveillance system
SMT,selective message transaction
SMT,small missile telecamera
SMT,surface-mounted technology
SMTAS,Shuttle modal test and analysis system
SMTF,Shuttle Mission Trainer Facility
SMU,soft mockup
SMU,software management utility
SMU,source management utility
SMU,speaker/microphone unit
SMVP,Shuttle Master Verification Plan
SMVRD,Shuttle master verification requirements document
SMW,standard materials work sheet
SMW,strategic missile wing
SN,serial number
SN,service note
SN,space network
SNA,system network architecture
SNAP,Shipboard Nontactical ADP Program II
SNAP,space nuclear auxiliary power
SNAP-10,space nuclear auxiliary power system
SND,signal network distributor
SNF,system noise figure
SNPO,Space Nuclear Propulsion Office (NASA)
SNR,signal-to-noise ratio
SNS,Shuttle network system
SNSO,Space Nuclear Systems Office
SO,shop order
SO,Shuttle operations
SO,slow operating (relay)
SO,Support Operations (KSC directorate)
SO/SI,space operations and scientific investigation
SO2,solid oxygen
SO2,supercritical oxygen
SOA,state of the art
SOAR,Shuttle orbital applications and requirements
SOARS,Shuttle operation automated reporting system
SOATS,support operation automated training system
SOC,Shuttle Operations Center
SOC,simulation operation computer
SOC,Space Operations Center
SOC,system operational concept
SOC,system option controller
SOCAR,Shuttle Operational Capability Assessment Report
SOCC,Satellite Operations Control Center
SOCC,Shuttle Operations Computing Center
SOCCB,Secure Operations Configuration Control Board
SOCH,Spacelab orbiter common hardware
SOCKO,systems operational checkout
SOCS,subsystem operation and checkout system
SODB,Shuttle Operational Data Book
SODB,start of data block
SODIM,Standard Operational Data Item Manual
SODS,Shuttle operational data submittal
SODS,Shuttle operational data system
SODS,Skylab orbit-deorbit system
SODSIM,strategic offense-defense simulation
SOF,safety of flight
SOFAR,sound fixing and ranging
SOFAS,survivable optical forward acquisition system
SOFI,spray-on foam insulation
SOFT,space operations and flight technique
SOFT,suborbit flight test
SOGS,science operations ground system
SOH,start of heading
SOH,state of health
SOI,space object identification
SOIS,Spacelab/orbiter interface simulator
SOM,ship operations manager (NASA)
SOM,spares optimization model
SOM,Stage Operating Manual
SOM,Standard Operating Manual
SOM,suborbital mission
SOMF,start of minor frame
SOMM,Software Operations and Maintenance Manual
SOMS,Shuttle orbiter medical system
SON,statement of need
SOP,secondary oxygen pack
SOP,secure operations preboard
SOP,spacecraft operations plan
SOP,Spacelab opportunity payload
SOP,standard operating procedure
SOP,structural optimization procedure
SOP,subsystem operating program
SOP,subsystems operating procedure
SOP,systems operating plan
SOPC,Shuttle Operations and Planning Center
SOQ,system optical quality
SOR,specific operational requirement
SOR,specification operational requirement
SOR,stable orbit rendezvous
SOS,serial output special
SOS,silicon on sapphire
SOS,source of supply
SOS,space ordnance system
SOS,stabilized optical sight
SOS,synchronous-orbit satellite
SOS,system operational safety
SOSI,space operations scientific investigation
SOSMAN,Space Operations System Manifesting Program
SOSRM,strap-on solid rocket motor
SOT,solar optical telescope
SOT,strap-on tank
SOTS,suborbital tank separation
SOV,shutoff valve
SOV,solenoid-operated valve
SOW,start of word
SOW,statement of work
SOW,subdivision of work
SP,safety plan
SP,standard or peculiar
SP,static pressure
SP,surveillance payload
SP,shoulder pitch
SP,Shuttle Project Office (KSC)
SP,signal processor
SP,single pole
SP,solar physics
SP,solid propellant
SP,sortie payload
SP,stable platform
SP-ACT,Site Activation Office (KSC Shuttle)
SP-AF,Air Force STS Liaison Office (KSC Shuttle)
SP-FGS,Flight and Ground Systems Office (KSC Shuttle)
SP-ILS,Integrated Logistics Support Office (KSC Shuttle)
SP-OPI,Operations Planning and Integration Office (KSC Shuttle)
SP-OSO,Off-Site Offices (KSC Shuttle)
SP-PCO,Program Control Office
SP-SMO,Site Management Office (KSC Shuttle)
SPA,S-band power amplifier
SPA,servopower amplifier
SPA,servopower assembly
SPA,shared peripheral area
SPA,signal processor assembly
SPA,small-payload accommodations
SPA,software product assurance
SPA,space processing application
SPA,steering position amplifier
SPACE,spacecraft prelaunch automatic checkout equipment
SPAD,Shuttle payload accommodation document
SPADATS,space defense acquisition and tracking system
SPADCCS,space defense command and control system
SPADE,Space Acquisition Defense Experiment
SPADOC,Space Defense Operations Center
SPADS,Shuttle problem analysis data system
SPAF,simulation processor and formatter
SPAH,Spacelab Payload Accommodations Handbook
SPAN,spacecraft analysis
SPAR,Shuttle pointed autonomous research
SPAR,supportability problem assessment report
SPARS,space precision attitude reference system
SPART,space research and technology
SPAS,Indonesian communication satellite
SPAS,Shuttle pallet applications system
SPAS,Shuttle pallet satellite
SPAT,Satellite Performance Analysis Team
SPAT,small-payload accommodation terminal
SPC,shipping and packing cost
SPC,Shuttle Processing Contract (contractor)
SPC,Software Productivity Consortium
SPC,starting-point code
SPC,statistical process control
SPC,stored program command
SPC,stored program control
SPC,synoptic properties code
SPCA,secondary power control assembly
SPCC,STS Processing Control Center
SPCR,software problem change request
SPCS,service and performance checkout system
SPCU,simulation process control unit
SPD,standard practice directive
SPD,system preliminary design
SPDB,subsystem power distribution box
SPDM,special-purpose dexterous manipulator
SPDR,scheduled planning drawing release
SPDR,software preliminary design review
SPDS,stabilized payload deployment system
SPDT,"single pole, double throw"
SPE,software process engineering
SPE,static phase error
SPEARS,supplier performance evaluation and rating system
SPEC,specialist function
SPEE,special-purpose end effector
SPF,Software Production Facility (JSC)
SPF,Spacelab Processing Facility
SPFA,single-point failure analysis
SPFL,single-point failure list
SPFM,single-point failure mode
SPFP,single-point failure potential
SPG,single-point ground
SPGAI,surface position gimbal angle indicator
SPI,surface position indicator
SPICE,Shuttle payload integration cargo evaluation
SPICE,Spacelab payload integration and coordination in Europe
SPICE,Survey Probe Infrared Celestial Experiment
SPICE,survey program of infrared celestial experiments
SPIDF,support-planning identification file
SPIDPO,Shuttle Payload Integration and Development Program Office (JSC)
SPIDPO,Shuttle Payload Integration and Development Program Office (JSC)
SPIDS,stabilized payload interface deployment system
SPIF,Shuttle Payload Integration Facility
SPIF,Shuttle Processing Interface Facility
SPIF,standard payload interface
SPII,Shuttle program implementation instruction
SPIMS,Shuttle program information management system
SPIRE,sensor performance in a radiation environment
SPIRE,Spectral Infrared Rocket Experiment
SPIRIT,spatial infrared telescope
SPL,scratch pad line
SPL,secondary payload
SPL,serialized parts list
SPL,sonic pressure level
SPL,sound pressure level
SPL,system programming language
SPM,seeker and processor math models
SPM,Software Programmer's Manual
SPM,software performance monitor
SPM,Standard Parts Manual
SPM,subsystem project manager
SPMS,special-purpose manipulator system
SPN,Shuttle project notice (KSC)
SPO,Shuttle Program Office
SPO,Spacecraft Program Office
SPO,spare parts order
SPO,Special Projects Office
SPO,System Program Office
SPO,System Project Office
SPOC,Shuttle Payload Operations Contract
SPOC,Shuttle portable on-board computer
